Date,Country,Sales
2013-01-21,Italia,1441.97
2013-01-21,Inglaterra,620.9
2013-01-21,Francia,3307.65
2013-01-21,Francia,1095.45
2013-01-22,Francia,837.2
2013-01-22,Inglaterra,117.17
2013-01-22,España,4931.54
2013-01-22,Francia,2049.61
2013-01-22,Inglaterra,3880.28
2013-01-22,Italia,4935.37
2013-01-22,España,1274.09
2013-01-22,Italia,3181.42
2013-01-23,España,832.22
2013-01-23,Inglaterra,921.35
2013-01-23,Francia,2695.9
2013-01-23,Inglaterra,498.81
2013-01-23,Francia,3501.95
2013-01-24,Francia,250.85
2013-01-25,Francia,4707.15
2013-01-25,Italia,4217.65
2013-01-25,España,1787.7
2013-01-25,Francia,2275.33
2013-01-25,Italia,1297.82
2013-01-25,Francia,427.31
2013-01-26,Francia,694.39
2013-01-26,Francia,4960.44
2013-01-26,Francia,292.29
2013-01-27,Italia,1378.09
2013-01-27,Francia,3777.57
2013-01-27,Francia,3056.3
2013-01-27,Francia,538.44
2013-01-28,Francia,4145.79
2013-01-28,Italia,2871.27
2013-01-28,Italia,506.34
2013-01-28,Francia,4584.36
2013-01-28,Francia,2281.94
2013-01-29,Francia,128.44
2013-01-29,España,2853.3
2013-01-29,Inglaterra,2680.55
2013-01-29,Francia,112.03
2013-01-29,España,3871.04
2013-01-29,España,1476.33
2013-01-29,Inglaterra,3663.73
2013-01-29,Francia,919.26
2013-01-30,España,801.67
2013-01-30,Italia,1034.51
2013-01-30,Francia,4863.57
2013-01-31,Italia,2525.27
2013-01-31,Francia,4167.68
2013-01-31,Francia,2701.92
2013-02-01,Italia,2405.47
2013-02-01,Francia,3424.47
2013-02-01,España,2062.92
2013-02-02,Italia,4935.83
2013-02-02,Francia,4121.31
2013-02-03,Inglaterra,1195.12
2013-02-03,Francia,2031.87
2013-02-03,Italia,1122.84
2013-02-03,Italia,2833.05
2013-02-04,España,3618.23
2013-02-04,Francia,170.91
2013-02-04,Francia,3920.21
2013-02-04,España,4979.7
2013-02-04,España,4658.72
2013-02-05,Francia,1551.65
2013-02-05,España,4656.93
2013-02-05,España,4105.91
2013-02-05,España,3265.45
2013-02-05,Francia,4925.87
2013-02-06,España,4998.4
2013-02-06,España,2812.3
2013-02-06,Inglaterra,4748.42
2013-02-07,Francia,4966.54
2013-02-07,Francia,3432.78
2013-02-07,Francia,4167.87
2013-02-08,Francia,4629.15
2013-02-08,Francia,2789.8
2013-02-08,Italia,758.71
2013-02-08,Francia,3316.42
2013-02-08,Francia,1043.4
2013-02-08,Francia,2755.21
2013-02-09,España,1538.05
2013-02-09,Francia,3342.21
2013-02-09,Inglaterra,2665.99
2013-02-09,España,2126.86
2013-02-09,Francia,4898.32
2013-02-09,Inglaterra,4019.74
2013-02-10,Italia,2598.38
2013-02-10,Inglaterra,4133.13
2013-02-10,Italia,3675.53
2013-02-10,Francia,4007.7
2013-02-10,España,3383.91
2013-02-10,Francia,2189.57
2013-02-11,Italia,4202.48
2013-02-11,España,175.29
2013-02-11,Italia,4287.37
2013-02-12,Francia,1894.64
2013-02-12,Inglaterra,4414.85
2013-02-12,España,4181.98
2013-02-12,Italia,896.88
2013-02-12,Italia,3800.2
2013-02-12,Inglaterra,4888.2
2013-02-12,Francia,1343.11
2013-02-12,Francia,1879.33
2013-02-13,Francia,1467.4
2013-02-13,Francia,3589.72
2013-02-14,Inglaterra,833.4
2013-02-14,Inglaterra,2315.48
2013-02-14,Italia,3885.38
2013-02-15,Italia,3553.99
2013-02-15,Inglaterra,1906.52
2013-02-16,Francia,2580.53
2013-02-16,Italia,4242.55
2013-02-16,Francia,4838.23
2013-02-16,Francia,3752.97
2013-02-16,España,825.86
2013-02-17,Francia,2809.41
2013-02-17,España,2490.99
2013-02-17,Italia,3427.44
2013-02-17,Inglaterra,878.38
2013-02-18,Inglaterra,2014.68
2013-02-18,Italia,1789.96
2013-02-18,Italia,202.14
2013-02-18,Francia,4501.3
2013-02-19,Italia,4213.88
2013-02-19,Inglaterra,2645.32
2013-02-19,Inglaterra,559.25
2013-02-19,Francia,1131.06
2013-02-19,Inglaterra,3981.86
2013-02-20,España,1478.17
2013-02-20,Italia,3869.02
2013-02-20,España,2834.86
2013-02-20,Francia,1117.97
2013-02-21,Inglaterra,2743.23
2013-02-21,Inglaterra,3845.56
2013-02-21,España,950.83
2013-02-22,España,4029.41
2013-02-22,Francia,1114.72
2013-02-22,Inglaterra,1211.17
2013-02-22,Francia,110.49
2013-02-23,España,2754.04
2013-02-23,Inglaterra,2709.32
2013-02-23,Francia,3222.79
2013-02-23,Italia,4393.85
2013-02-23,Francia,3085.19
2013-02-23,Italia,3396.3
2013-02-23,Francia,2708.75
2013-02-24,España,2310.7
2013-02-24,Italia,3109.4
2013-02-24,Italia,3563.15
2013-02-24,Inglaterra,1312.02
2013-02-24,Italia,3657.92
2013-02-25,Francia,1401.12
2013-02-25,Francia,373.61
2013-02-25,Italia,1611.26
2013-02-25,Francia,3947.49
2013-02-26,Francia,4931.26
2013-02-26,Francia,1246.97
2013-02-27,Italia,1363.56
2013-02-27,España,3888.14
2013-02-27,Francia,1264.72
2013-02-27,Francia,3150.71
2013-02-27,Francia,2310.91
2013-02-27,Italia,1928.98
2013-02-28,Francia,1136.2
2013-02-28,Francia,4276.59
2013-02-28,Francia,1778.73
2013-02-28,España,3416.01
2013-03-01,Francia,1553.86
2013-03-01,Inglaterra,3970.57
2013-03-02,España,4850.71
2013-03-02,Italia,575.06
2013-03-02,Francia,2984.92
2013-03-02,Inglaterra,1068.47
2013-03-02,Francia,3906.62
2013-03-02,Inglaterra,2276.31
2013-03-03,España,4188.92
2013-03-03,Francia,2351.98
2013-03-03,Inglaterra,715.5
2013-03-04,Francia,2902.16
2013-03-04,España,2766.76
2013-03-04,Italia,135.38
2013-03-05,Italia,3779.55
2013-03-05,Inglaterra,524.72
2013-03-05,Inglaterra,3776.91
2013-03-06,Francia,2231.56
2013-03-06,Italia,2729.45
2013-03-06,Inglaterra,263.63
2013-03-06,Francia,1152.87
2013-03-07,España,4593.41
2013-03-07,Italia,2126.14
2013-03-08,Francia,3499.33
2013-03-08,Francia,1605.03
2013-03-08,España,2394.61
2013-03-09,Francia,958.36
2013-03-09,Francia,835.75
2013-03-09,Francia,2285.23
2013-03-10,España,1864.32
2013-03-10,Francia,4136.25
2013-03-10,Inglaterra,3609.03
2013-03-10,Francia,4792.55
2013-03-10,Inglaterra,1576.98
2013-03-11,Francia,496.26
2013-03-12,Francia,3911.28
2013-03-12,Francia,4264.88
2013-03-13,Francia,3260.98
2013-03-13,Italia,2650.0
2013-03-13,Francia,3893.44
2013-03-13,Italia,1529.13
2013-03-13,Francia,1728.32
2013-03-13,España,1641.98
2013-03-14,Francia,4913.1
2013-03-14,Italia,1148.22
2013-03-14,Italia,1766.53
2013-03-14,Francia,4250.53
2013-03-14,Italia,641.84
2013-03-14,Italia,2708.52
2013-03-14,Italia,2275.19
2013-03-14,España,1770.3
2013-03-15,Francia,3171.89
2013-03-15,Italia,4528.35
2013-03-16,Italia,4049.05
2013-03-16,España,3302.65
2013-03-16,España,4398.06
2013-03-16,Francia,2143.54
2013-03-16,Inglaterra,4415.67
2013-03-16,Francia,1638.01
2013-03-17,Italia,271.41
2013-03-17,Inglaterra,2943.07
2013-03-17,Francia,456.14
2013-03-17,España,684.57
2013-03-17,Francia,1003.22
2013-03-17,Francia,4172.58
2013-03-17,Inglaterra,3105.94
2013-03-18,España,2745.75
2013-03-18,Francia,4787.16
2013-03-19,Italia,3844.8
2013-03-19,Francia,687.22
2013-03-19,Francia,2809.58
2013-03-19,Francia,3519.21
2013-03-19,Francia,1510.89
2013-03-20,Francia,3082.57
2013-03-20,Francia,4158.78
2013-03-20,Francia,590.16
2013-03-20,Francia,4731.43
2013-03-20,Francia,3967.96
2013-03-20,España,2094.75
2013-03-21,Francia,1148.63
2013-03-22,Francia,2233.97
2013-03-23,Italia,1147.81
2013-03-23,Francia,4706.86
2013-03-23,Italia,826.58
2013-03-23,Italia,3744.31
2013-03-24,Italia,4711.98
2013-03-24,España,1209.02
2013-03-24,Inglaterra,4550.47
2013-03-24,Inglaterra,625.46
2013-03-24,Inglaterra,3271.08
2013-03-24,Italia,4743.49
2013-03-24,Inglaterra,475.44
2013-03-25,Francia,1797.18
2013-03-25,Italia,4496.69
2013-03-26,Francia,2966.99
2013-03-26,Francia,906.88
2013-03-26,Inglaterra,1628.66
2013-03-27,Francia,3588.22
2013-03-27,Francia,4548.66
2013-03-27,Francia,1078.67
2013-03-28,Italia,4177.0
2013-03-28,Francia,4776.3
2013-03-28,Francia,2913.92
2013-03-28,Francia,2376.24
2013-03-28,España,3374.47
2013-03-28,Francia,3185.24
2013-03-29,Francia,1067.28
2013-03-29,Francia,4304.18
2013-03-29,Francia,1437.32
2013-03-29,Inglaterra,994.4
2013-03-30,Francia,2461.53
2013-03-30,Francia,3767.14
2013-03-30,España,3079.06
2013-03-31,España,2388.14
2013-03-31,Francia,4803.65
2013-03-31,España,2879.1
2013-03-31,Italia,1918.22
2013-03-31,Francia,3099.61
2013-03-31,Francia,1495.02
2013-03-31,Inglaterra,511.61
2013-04-01,Francia,1662.37
2013-04-01,Francia,3150.33
2013-04-02,Francia,2908.43
2013-04-02,Francia,4468.13
2013-04-02,España,987.21
2013-04-02,Inglaterra,3313.31
2013-04-02,Italia,2623.4
2013-04-02,España,3073.92
2013-04-03,Italia,3480.96
2013-04-03,Inglaterra,3744.46
2013-04-03,Francia,2570.47
2013-04-03,Francia,2614.04
2013-04-03,Inglaterra,1534.89
2013-04-03,España,3497.99
2013-04-04,Francia,1281.91
2013-04-05,Francia,4531.92
2013-04-05,Italia,4514.72
2013-04-05,Inglaterra,2581.22
2013-04-05,Italia,3557.42
2013-04-06,España,955.46
2013-04-06,Francia,4516.86
2013-04-06,España,4425.44
2013-04-06,Italia,3759.18
2013-04-06,España,3763.12
2013-04-07,Francia,2757.98
2013-04-07,Italia,4668.9
2013-04-08,Italia,3553.5
2013-04-08,Italia,1736.98
2013-04-08,España,4868.98
2013-04-08,Francia,4593.2
2013-04-09,Francia,4682.73
2013-04-09,Inglaterra,3840.57
2013-04-09,Italia,2568.49
2013-04-09,España,2047.69
2013-04-09,España,3807.85
2013-04-10,España,3801.16
2013-04-10,España,925.2
2013-04-11,Francia,2014.44
2013-04-11,Italia,2803.58
2013-04-11,Francia,3352.46
2013-04-11,España,3996.19
2013-04-12,España,4387.45
2013-04-12,Inglaterra,1924.76
2013-04-12,Inglaterra,2268.69
2013-04-13,Italia,4308.19
2013-04-13,Italia,1615.35
2013-04-13,España,3881.87
2013-04-14,Francia,2832.54
2013-04-14,Italia,1496.05
2013-04-14,Francia,914.38
2013-04-14,Italia,2106.41
2013-04-14,Francia,848.0
2013-04-14,Francia,4021.59
2013-04-14,España,2237.82
2013-04-15,Inglaterra,1145.4
2013-04-15,Inglaterra,3107.19
2013-04-15,Inglaterra,1027.74
2013-04-15,Italia,4893.52
2013-04-15,Italia,1641.28
2013-04-16,Francia,4194.12
2013-04-16,Inglaterra,4011.28
2013-04-16,Francia,1292.51
2013-04-16,España,403.68
2013-04-16,Italia,2080.89
2013-04-17,Francia,2831.63
2013-04-17,Francia,941.77
2013-04-18,Francia,1318.59
2013-04-18,Italia,533.98
2013-04-18,Italia,1101.79
2013-04-18,Francia,2884.22
2013-04-19,Francia,2552.42
2013-04-19,Inglaterra,1918.75
2013-04-19,Inglaterra,2415.06
2013-04-19,Francia,867.51
2013-04-19,Francia,767.54
2013-04-19,Francia,4363.24
2013-04-19,España,2803.96
2013-04-19,Italia,4279.62
2013-04-20,Italia,3590.02
2013-04-21,España,3047.59
2013-04-21,Inglaterra,4867.0
2013-04-21,Francia,4222.41
2013-04-21,España,1166.56
2013-04-21,Francia,242.29
2013-04-21,Italia,3608.86
2013-04-21,España,515.32
2013-04-21,Francia,1121.78
2013-04-21,Francia,1618.66
2013-04-21,España,3647.58
2013-04-22,Italia,452.31
2013-04-22,Francia,277.65
2013-04-22,Francia,2773.26
2013-04-23,Italia,617.36
2013-04-23,Italia,3617.03
2013-04-23,Francia,2984.58
2013-04-23,Italia,1335.28
2013-04-23,Francia,2903.52
2013-04-23,Italia,4262.76
2013-04-23,Francia,1589.94
2013-04-23,Italia,1307.74
2013-04-23,Francia,3758.18
2013-04-24,Francia,366.61
2013-04-24,Italia,4506.76
2013-04-24,Inglaterra,2257.72
2013-04-24,Italia,4434.03
2013-04-24,Francia,989.39
2013-04-25,Francia,3162.12
2013-04-25,Italia,3006.22
2013-04-25,España,2829.62
2013-04-26,España,4878.0
2013-04-26,Italia,1432.25
2013-04-26,Italia,4858.26
2013-04-26,Francia,3793.64
2013-04-26,Francia,753.66
2013-04-26,España,998.97
2013-04-26,Francia,960.52
2013-04-26,Francia,3966.12
2013-04-27,Italia,1852.44
2013-04-27,Francia,2844.02
2013-04-27,Francia,2266.56
2013-04-28,Francia,271.04
2013-04-28,Italia,4701.5
2013-04-28,Italia,3494.76
2013-04-28,Inglaterra,240.29
2013-04-28,Italia,4703.46
2013-04-28,Francia,2233.64
2013-04-29,Francia,4767.01
2013-04-29,España,4516.8
2013-04-29,Francia,3507.83
2013-04-30,Francia,2082.81
2013-04-30,Italia,1588.23
2013-05-01,Inglaterra,4596.4
2013-05-01,Inglaterra,1780.38
2013-05-02,Inglaterra,1420.5
2013-05-02,Italia,2111.42
2013-05-02,España,4720.94
2013-05-02,Francia,4142.69
2013-05-02,España,2978.1
2013-05-02,Francia,727.86
2013-05-02,Inglaterra,3207.72
2013-05-03,Francia,470.66
2013-05-03,Francia,101.18
2013-05-03,Francia,4582.01
2013-05-03,España,1644.87
2013-05-04,Francia,1338.44
2013-05-04,Francia,3940.14
2013-05-04,España,3425.69
2013-05-04,Inglaterra,4457.59
2013-05-04,España,3844.68
2013-05-05,Francia,2289.49
2013-05-05,Francia,2755.97
2013-05-05,Francia,140.69
2013-05-05,España,1368.55
2013-05-05,Italia,1084.77
2013-05-05,Francia,886.73
2013-05-06,España,1879.63
2013-05-06,Italia,2347.96
2013-05-06,Francia,2988.58
2013-05-06,España,4110.86
2013-05-06,Francia,4670.14
2013-05-07,Italia,2418.75
2013-05-07,Inglaterra,2796.45
2013-05-07,Francia,1121.08
2013-05-08,España,3807.11
2013-05-08,España,3672.27
2013-05-08,Francia,377.41
2013-05-08,Italia,3427.73
2013-05-08,Inglaterra,2310.27
2013-05-09,Francia,2984.35
2013-05-09,Inglaterra,2510.51
2013-05-09,Francia,1177.63
2013-05-09,Francia,561.69
2013-05-09,Francia,1302.02
2013-05-09,Inglaterra,1359.23
2013-05-09,España,4123.51
2013-05-10,Francia,4859.87
2013-05-10,España,4539.16
2013-05-10,Francia,1417.63
2013-05-10,España,421.58
2013-05-10,Inglaterra,4565.22
2013-05-10,España,2415.06
2013-05-11,Francia,4633.8
2013-05-11,Italia,2554.75
2013-05-11,Francia,4932.95
2013-05-11,Francia,2765.08
2013-05-11,España,2348.69
2013-05-12,Francia,2404.22
2013-05-12,Inglaterra,3835.36
2013-05-12,Francia,1461.82
2013-05-12,Italia,447.93
2013-05-13,Francia,454.51
2013-05-13,Italia,4693.88
2013-05-13,España,2692.61
2013-05-14,Italia,355.06
2013-05-14,España,4454.81
2013-05-14,Italia,2945.04
2013-05-14,España,4520.88
2013-05-14,España,836.69
2013-05-14,España,1159.54
2013-05-15,Francia,3302.45
2013-05-15,España,2667.47
2013-05-15,Inglaterra,4309.03
2013-05-16,España,2215.41
2013-05-16,Inglaterra,1598.43
2013-05-17,Francia,298.45
2013-05-17,Francia,2845.32
2013-05-17,Francia,4835.41
2013-05-17,Francia,2393.61
2013-05-17,Francia,1997.93
2013-05-17,España,3812.52
2013-05-17,España,4336.92
2013-05-17,Francia,3194.22
2013-05-17,Francia,3308.67
2013-05-18,Francia,1848.3
2013-05-18,España,4743.25
2013-05-18,Italia,887.51
2013-05-18,Inglaterra,591.8
2013-05-18,Francia,1319.6
2013-05-19,Italia,3941.19
2013-05-19,Francia,3470.09
2013-05-19,Italia,2731.89
2013-05-19,Inglaterra,2991.57
2013-05-19,Francia,3624.06
2013-05-19,España,3896.66
2013-05-20,Francia,2303.48
2013-05-20,Italia,3893.88
2013-05-20,Francia,514.88
2013-05-20,Italia,3104.05
2013-05-20,España,144.13
2013-05-21,Francia,1921.83
2013-05-21,Francia,4226.83
2013-05-21,Italia,325.06
2013-05-21,Francia,3166.65
2013-05-21,Italia,153.72
2013-05-21,Italia,4574.9
2013-05-21,Francia,1056.81
2013-05-22,Inglaterra,4899.31
2013-05-22,Francia,154.04
2013-05-22,Italia,3983.26
2013-05-23,Francia,2857.01
2013-05-23,España,2874.31
2013-05-23,Italia,4740.73
2013-05-23,Italia,2324.27
2013-05-23,Inglaterra,719.49
2013-05-23,España,188.97
2013-05-23,España,1969.71
2013-05-24,Francia,1983.6
2013-05-24,Francia,2043.04
2013-05-24,Francia,700.34
2013-05-24,Francia,632.18
2013-05-24,Inglaterra,1883.01
2013-05-24,Francia,3428.65
2013-05-25,España,3101.2
2013-05-25,Italia,2188.78
2013-05-25,Italia,2334.14
2013-05-26,España,2503.25
2013-05-26,Italia,583.42
2013-05-26,Inglaterra,2053.34
2013-05-26,Francia,550.29
2013-05-26,Francia,4669.01
2013-05-27,Francia,799.65
2013-05-27,Francia,2852.0
2013-05-27,Inglaterra,669.29
2013-05-27,Francia,1107.58
2013-05-27,Italia,2706.36
2013-05-28,Inglaterra,4760.34
2013-05-28,Italia,176.67
2013-05-28,España,2132.67
2013-05-28,España,807.93
2013-05-28,Francia,3159.24
2013-05-28,Francia,3429.03
2013-05-29,Italia,593.4
2013-05-29,Francia,3579.71
2013-05-29,España,1574.69
2013-05-29,España,4707.55
2013-05-29,Francia,622.43
2013-05-29,España,4775.35
2013-05-29,Francia,4595.39
2013-05-30,España,4617.04
2013-05-30,España,3134.82
2013-05-31,Francia,115.3
2013-05-31,España,3344.71
2013-05-31,Francia,1084.17
2013-05-31,Francia,780.0
2013-06-01,España,821.64
2013-06-01,España,544.24
2013-06-01,España,4003.25
2013-06-01,Francia,2610.9
2013-06-02,Italia,2631.6
2013-06-02,España,2031.44
2013-06-02,Italia,3367.84
2013-06-02,Francia,1192.76
2013-06-03,Francia,1034.97
2013-06-03,Francia,2392.41
2013-06-03,Francia,1410.81
2013-06-03,España,1922.77
2013-06-03,Francia,235.39
2013-06-03,España,4196.15
2013-06-03,Francia,949.53
2013-06-03,Inglaterra,3305.42
2013-06-03,España,4201.34
2013-06-04,Inglaterra,4880.16
2013-06-04,Inglaterra,1375.04
2013-06-04,España,2113.13
2013-06-04,Francia,4005.24
2013-06-05,Francia,1150.85
2013-06-05,Francia,2875.31
2013-06-05,Italia,4389.11
2013-06-05,Francia,1716.1
2013-06-05,Francia,3450.28
2013-06-05,España,3889.19
2013-06-06,España,2598.46
2013-06-06,España,3593.84
2013-06-06,España,3717.14
2013-06-06,España,1837.38
2013-06-07,Italia,710.61
2013-06-08,Francia,3801.92
2013-06-08,Inglaterra,2238.12
2013-06-08,España,3381.64
2013-06-08,España,138.44
2013-06-08,Italia,4887.16
2013-06-09,Inglaterra,4931.21
2013-06-09,Inglaterra,414.26
2013-06-09,Inglaterra,4377.45
2013-06-09,Francia,3620.8
2013-06-09,España,763.36
2013-06-09,Francia,4984.0
2013-06-10,Inglaterra,4912.0
2013-06-10,España,2753.03
2013-06-10,Francia,2509.77
2013-06-10,España,995.2
2013-06-10,Inglaterra,4132.84
2013-06-11,Francia,2432.04
2013-06-11,Francia,4618.44
2013-06-11,España,1318.67
2013-06-11,Inglaterra,3163.54
2013-06-11,Francia,3834.93
2013-06-11,Italia,4875.59
2013-06-11,España,1136.45
2013-06-11,Inglaterra,1426.54
2013-06-12,Francia,451.38
2013-06-12,Francia,460.73
2013-06-12,Francia,2040.11
2013-06-12,Francia,3405.9
2013-06-13,Francia,241.13
2013-06-13,Italia,285.14
2013-06-13,Italia,4567.6
2013-06-13,Italia,1674.71
2013-06-13,España,4540.65
2013-06-14,España,2186.76
2013-06-14,Inglaterra,458.56
2013-06-14,Francia,2431.39
2013-06-14,Inglaterra,3664.25
2013-06-14,Francia,4640.13
2013-06-14,Italia,1479.61
2013-06-15,Italia,4991.17
2013-06-15,España,4483.87
2013-06-15,Francia,4002.09
2013-06-15,Inglaterra,4148.72
2013-06-15,España,2489.23
2013-06-15,España,3134.12
2013-06-15,Inglaterra,2651.05
2013-06-16,Italia,1737.81
2013-06-16,España,3941.9
2013-06-16,Inglaterra,537.11
2013-06-17,España,334.54
2013-06-18,España,1740.8
2013-06-19,Francia,4941.53
2013-06-19,Inglaterra,3521.34
2013-06-19,Francia,199.37
2013-06-19,Italia,3971.36
2013-06-19,España,1675.17
2013-06-19,España,4771.13
2013-06-20,España,583.89
2013-06-20,España,4544.88
2013-06-20,España,3229.63
2013-06-20,Inglaterra,2822.04
2013-06-20,Francia,2479.48
2013-06-20,Francia,3889.62
2013-06-20,Francia,1296.27
2013-06-20,Italia,3646.6
2013-06-21,Francia,1527.24
2013-06-21,Francia,4001.87
2013-06-21,Francia,1170.35
2013-06-21,España,1278.51
2013-06-22,Inglaterra,1810.08
2013-06-22,Francia,1445.4
2013-06-22,Italia,547.1
2013-06-22,Italia,222.52
2013-06-22,Inglaterra,4437.62
2013-06-22,Francia,2384.33
2013-06-22,España,342.29
2013-06-23,España,603.88
2013-06-23,Francia,2811.66
2013-06-24,Italia,4421.74
2013-06-24,Francia,3563.86
2013-06-24,Francia,1635.69
2013-06-24,Italia,2431.87
2013-06-24,España,2154.08
2013-06-24,Francia,3397.74
2013-06-25,Francia,4831.57
2013-06-26,Italia,3778.98
2013-06-26,Francia,785.6
2013-06-26,Francia,1009.46
2013-06-26,España,804.09
2013-06-26,Francia,2836.73
2013-06-26,Francia,3276.02
2013-06-28,España,3789.06
2013-06-28,España,2656.98
2013-06-28,Francia,3966.81
2013-06-28,Inglaterra,1431.3
2013-06-28,Italia,1004.22
2013-06-28,Francia,618.32
2013-06-30,Francia,2458.42
2013-06-30,Francia,3075.61
2013-06-30,Italia,733.0
2013-07-01,España,1697.3
2013-07-01,Francia,1916.48
2013-07-02,Italia,590.32
2013-07-02,España,4279.33
2013-07-02,España,666.23
2013-07-02,Francia,2073.49
2013-07-02,Francia,2477.74
2013-07-02,España,3765.74
2013-07-02,Inglaterra,469.24
2013-07-02,Francia,1474.89
2013-07-02,Francia,1176.78
2013-07-03,Francia,1299.56
2013-07-03,Francia,540.93
2013-07-03,Francia,4301.33
2013-07-03,Francia,1529.45
2013-07-03,Francia,3205.52
2013-07-04,Francia,2158.66
2013-07-04,Francia,4669.23
2013-07-04,Italia,2461.35
2013-07-05,Francia,4192.7
2013-07-06,Inglaterra,652.22
2013-07-06,Francia,1092.09
2013-07-06,Francia,1039.33
2013-07-06,España,244.76
2013-07-06,Francia,4819.69
2013-07-06,España,2620.48
2013-07-06,Inglaterra,1800.44
2013-07-06,Italia,4360.35
2013-07-07,Inglaterra,1572.58
2013-07-07,España,2622.36
2013-07-07,Francia,3424.73
2013-07-07,Francia,362.78
2013-07-07,España,852.79
2013-07-07,Italia,4850.9
2013-07-07,España,662.45
2013-07-07,Francia,1161.76
2013-07-07,Francia,693.58
2013-07-08,Francia,2681.33
2013-07-08,Francia,2405.12
2013-07-08,Italia,4766.86
2013-07-08,Francia,161.95
2013-07-09,Francia,3431.2
2013-07-09,Italia,4687.12
2013-07-09,España,553.62
2013-07-09,Francia,540.4
2013-07-09,Francia,4976.28
2013-07-09,España,2611.7
2013-07-09,Inglaterra,3286.79
2013-07-10,Francia,4155.59
2013-07-10,Italia,3038.24
2013-07-10,España,464.22
2013-07-10,Italia,3229.74
2013-07-10,España,3254.95
2013-07-10,España,1308.43
2013-07-11,Francia,327.13
2013-07-11,Francia,4795.91
2013-07-11,Inglaterra,445.62
2013-07-11,Italia,1456.82
2013-07-11,España,3998.35
2013-07-11,Francia,1001.34
2013-07-11,Francia,3155.77
2013-07-11,España,3411.16
2013-07-11,Inglaterra,1941.83
2013-07-12,España,4407.06
2013-07-12,Francia,4894.44
2013-07-12,Italia,123.52
2013-07-12,Francia,478.74
2013-07-13,España,3505.33
2013-07-13,Italia,3755.8
2013-07-13,España,1332.41
2013-07-13,Francia,328.52
2013-07-13,España,1409.99
2013-07-13,Francia,194.57
2013-07-13,Francia,3108.81
2013-07-13,Inglaterra,4553.55
2013-07-14,Francia,2389.15
2013-07-14,Francia,2550.45
2013-07-14,Francia,815.84
