Date,Country,Sales,Customers
2013-02-11,Italia,4202.48,331
2013-02-11,España,175.29,21
2013-02-11,Italia,4287.37,434
2013-02-12,Francia,1894.64,121
2013-02-12,Inglaterra,4414.85,339
2013-02-12,España,4181.98,180
2013-02-12,Italia,896.88,104
2013-02-12,Italia,3800.2,294
2013-02-12,Inglaterra,4888.2,540
2013-02-12,Francia,1343.11,65
2013-02-12,Francia,1879.33,136
2013-02-13,Francia,1467.4,64
2013-02-13,Francia,3589.72,183
2013-02-14,Inglaterra,833.4,50
2013-02-14,Inglaterra,2315.48,134
2013-02-14,Italia,3885.38,418
2013-02-15,Italia,3553.99,319
2013-02-15,Inglaterra,1906.52,95
2013-02-16,Francia,2580.53,205
2013-02-16,Italia,4242.55,240
2013-02-16,Francia,4838.23,432
2013-02-16,Francia,3752.97,246
2013-02-16,España,825.86,86
2013-02-17,Francia,2809.41,182
2013-02-17,España,2490.99,109
2013-02-17,Italia,3427.44,170
2013-02-17,Inglaterra,878.38,40
2013-02-18,Inglaterra,2014.68,135
2013-02-18,Italia,1789.96,84
2013-02-18,Italia,202.14,16
2013-02-18,Francia,4501.3,269
2013-02-19,Italia,4213.88,184
2013-02-19,Inglaterra,2645.32,300
2013-02-19,Inglaterra,559.25,27
2013-02-19,Francia,1131.06,113
2013-02-19,Inglaterra,3981.86,181
2013-02-20,España,1478.17,75
2013-02-20,Italia,3869.02,274
2013-02-20,España,2834.86,150
2013-02-20,Francia,1117.97,97
2013-02-21,Inglaterra,2743.23,255
2013-02-21,Inglaterra,3845.56,284
2013-02-21,España,950.83,89
2013-02-22,España,4029.41,244
2013-02-22,Francia,1114.72,138
2013-02-22,Inglaterra,1211.17,59
2013-02-22,Francia,110.49,5
2013-02-23,España,2754.04,308
2013-02-23,Inglaterra,2709.32,115
2013-02-23,Francia,3222.79,130
2013-02-23,Italia,4393.85,308
2013-02-23,Francia,3085.19,141
2013-02-23,Italia,3396.3,322
2013-02-23,Francia,2708.75,152
2013-02-24,España,2310.7,158
2013-02-24,Italia,3109.4,174
2013-02-24,Italia,3563.15,243
2013-02-24,Inglaterra,1312.02,163
2013-02-24,Italia,3657.92,270
2013-02-25,Francia,1401.12,85
2013-02-25,Francia,373.61,25
2013-02-25,Italia,1611.26,75
2013-02-25,Francia,3947.49,227
2013-02-26,Francia,4931.26,209
2013-02-26,Francia,1246.97,77
2013-02-27,Italia,1363.56,80
2013-02-27,España,3888.14,271
2013-02-27,Francia,1264.72,145
2013-02-27,Francia,3150.71,132
2013-02-27,Francia,2310.91,121
2013-02-27,Italia,1928.98,79
2013-02-28,Francia,1136.2,52
2013-02-28,Francia,4276.59,201
2013-02-28,Francia,1778.73,156
2013-02-28,España,3416.01,222
2013-03-01,Francia,1553.86,121
2013-03-01,Inglaterra,3970.57,396
2013-03-02,España,4850.71,322
2013-03-02,Italia,575.06,58
2013-03-02,Francia,2984.92,250
2013-03-02,Inglaterra,1068.47,120
2013-03-02,Francia,3906.62,343
2013-03-02,Inglaterra,2276.31,115
2013-03-03,España,4188.92,395
2013-03-03,Francia,2351.98,105
2013-03-03,Inglaterra,715.5,67
2013-03-04,Francia,2902.16,184
2013-03-04,España,2766.76,122
2013-03-04,Italia,135.38,7
2013-03-05,Italia,3779.55,173
2013-03-05,Inglaterra,524.72,51
2013-03-05,Inglaterra,3776.91,175
2013-03-06,Francia,2231.56,126
2013-03-06,Italia,2729.45,139
2013-03-06,Inglaterra,263.63,24
2013-03-06,Francia,1152.87,78
2013-03-07,España,4593.41,197
2013-03-07,Italia,2126.14,243
2013-03-08,Francia,3499.33,155
2013-03-08,Francia,1605.03,78
2013-03-08,España,2394.61,229
2013-03-09,Francia,958.36,51
2013-03-09,Francia,835.75,102
2013-03-09,Francia,2285.23,159
2013-03-10,España,1864.32,101
2013-03-10,Francia,4136.25,200
2013-03-10,Inglaterra,3609.03,262
2013-03-10,Francia,4792.55,465
2013-03-10,Inglaterra,1576.98,89
2013-03-11,Francia,496.26,37
2013-03-12,Francia,3911.28,172
2013-03-12,Francia,4264.88,244
2013-03-13,Francia,3260.98,201
2013-03-13,Italia,2650.0,164
2013-03-13,Francia,3893.44,190
2013-03-13,Italia,1529.13,171
2013-03-13,Francia,1728.32,118
2013-03-13,España,1641.98,84
2013-03-14,Francia,4913.1,287
2013-03-14,Italia,1148.22,79
2013-03-14,Italia,1766.53,189
2013-03-14,Francia,4250.53,251
2013-03-14,Italia,641.84,42
2013-03-14,Italia,2708.52,121
2013-03-14,Italia,2275.19,116
2013-03-14,España,1770.3,153
2013-03-15,Francia,3171.89,155
2013-03-15,Italia,4528.35,406
2013-03-16,Italia,4049.05,220
2013-03-16,España,3302.65,245
2013-03-16,España,4398.06,233
2013-03-16,Francia,2143.54,171
2013-03-16,Inglaterra,4415.67,223
2013-03-16,Francia,1638.01,99
2013-03-17,Italia,271.41,25
2013-03-17,Inglaterra,2943.07,118
2013-03-17,Francia,456.14,39
2013-03-17,España,684.57,45
2013-03-17,Francia,1003.22,42
2013-03-17,Francia,4172.58,356
2013-03-17,Inglaterra,3105.94,208
2013-03-18,España,2745.75,133
2013-03-18,Francia,4787.16,205
2013-03-19,Italia,3844.8,377
2013-03-19,Francia,687.22,36
2013-03-19,Francia,2809.58,174
2013-03-19,Francia,3519.21,333
2013-03-19,Francia,1510.89,65
2013-03-20,Francia,3082.57,185
2013-03-20,Francia,4158.78,167
2013-03-20,Francia,590.16,50
2013-03-20,Francia,4731.43,274
2013-03-20,Francia,3967.96,412
2013-03-20,España,2094.75,128
2013-03-21,Francia,1148.63,67
2013-03-22,Francia,2233.97,155
2013-03-23,Italia,1147.81,85
2013-03-23,Francia,4706.86,486
2013-03-23,Italia,826.58,99
2013-03-23,Italia,3744.31,188
2013-03-24,Italia,4711.98,429
2013-03-24,España,1209.02,51
2013-03-24,Inglaterra,4550.47,203
2013-03-24,Inglaterra,625.46,34
2013-03-24,Inglaterra,3271.08,161
2013-03-24,Italia,4743.49,297
2013-03-24,Inglaterra,475.44,33
2013-03-25,Francia,1797.18,86
2013-03-25,Italia,4496.69,255
2013-03-26,Francia,2966.99,201
2013-03-26,Francia,906.88,48
2013-03-26,Inglaterra,1628.66,71
2013-03-27,Francia,3588.22,296
2013-03-27,Francia,4548.66,293
2013-03-27,Francia,1078.67,57
2013-03-28,Italia,4177.0,233
2013-03-28,Francia,4776.3,586
2013-03-28,Francia,2913.92,157
2013-03-28,Francia,2376.24,101
2013-03-28,España,3374.47,206
2013-03-28,Francia,3185.24,140
2013-03-29,Francia,1067.28,53
2013-03-29,Francia,4304.18,234
2013-03-29,Francia,1437.32,106
2013-03-29,Inglaterra,994.4,46
2013-03-30,Francia,2461.53,122
2013-03-30,Francia,3767.14,398
2013-03-30,España,3079.06,155
2013-03-31,España,2388.14,148
2013-03-31,Francia,4803.65,589
2013-03-31,España,2879.1,229
2013-03-31,Italia,1918.22,160
2013-03-31,Francia,3099.61,212
2013-03-31,Francia,1495.02,105
2013-03-31,Inglaterra,511.61,28
2013-04-01,Francia,1662.37,72
2013-04-01,Francia,3150.33,140
2013-04-02,Francia,2908.43,131
2013-04-02,Francia,4468.13,231
2013-04-02,España,987.21,44
2013-04-02,Inglaterra,3313.31,310
2013-04-02,Italia,2623.4,238
2013-04-02,España,3073.92,128
2013-04-03,Italia,3480.96,177
2013-04-03,Inglaterra,3744.46,277
2013-04-03,Francia,2570.47,200
2013-04-03,Francia,2614.04,130
2013-04-03,Inglaterra,1534.89,159
2013-04-03,España,3497.99,146
2013-04-04,Francia,1281.91,67
2013-04-05,Francia,4531.92,244
2013-04-05,Italia,4514.72,254
2013-04-05,Inglaterra,2581.22,178
2013-04-05,Italia,3557.42,171
2013-04-06,España,955.46,64
2013-04-06,Francia,4516.86,365
2013-04-06,España,4425.44,345
2013-04-06,Italia,3759.18,252
2013-04-06,España,3763.12,162
2013-04-07,Francia,2757.98,118
2013-04-07,Italia,4668.9,242
2013-04-08,Italia,3553.5,442
2013-04-08,Italia,1736.98,77
2013-04-08,España,4868.98,361
2013-04-08,Francia,4593.2,374
2013-04-09,Francia,4682.73,223
2013-04-09,Inglaterra,3840.57,165
2013-04-09,Italia,2568.49,174
2013-04-09,España,2047.69,105
2013-04-09,España,3807.85,172
2013-04-10,España,3801.16,155
2013-04-10,España,925.2,60
2013-04-11,Francia,2014.44,167
2013-04-11,Italia,2803.58,162
2013-04-11,Francia,3352.46,150
2013-04-11,España,3996.19,212
2013-04-12,España,4387.45,501
2013-04-12,Inglaterra,1924.76,88
2013-04-12,Inglaterra,2268.69,200
2013-04-13,Italia,4308.19,464
2013-04-13,Italia,1615.35,117
2013-04-13,España,3881.87,333
2013-04-14,Francia,2832.54,134
2013-04-14,Italia,1496.05,60
2013-04-14,Francia,914.38,51
2013-04-14,Italia,2106.41,109
2013-04-14,Francia,848.0,35
2013-04-14,Francia,4021.59,232
2013-04-14,España,2237.82,100
2013-04-15,Inglaterra,1145.4,115
2013-04-15,Inglaterra,3107.19,141
2013-04-15,Inglaterra,1027.74,111
2013-04-15,Italia,4893.52,230
2013-04-15,Italia,1641.28,196
2013-04-16,Francia,4194.12,182
2013-04-16,Inglaterra,4011.28,267
2013-04-16,Francia,1292.51,95
2013-04-16,España,403.68,24
2013-04-16,Italia,2080.89,177
2013-04-17,Francia,2831.63,196
2013-04-17,Francia,941.77,51
2013-04-18,Francia,1318.59,78
2013-04-18,Italia,533.98,54
2013-04-18,Italia,1101.79,48
2013-04-18,Francia,2884.22,160
2013-04-19,Francia,2552.42,205
2013-04-19,Inglaterra,1918.75,80
2013-04-19,Inglaterra,2415.06,248
2013-04-19,Francia,867.51,37
2013-04-19,Francia,767.54,45
2013-04-19,Francia,4363.24,183
2013-04-19,España,2803.96,153
2013-04-19,Italia,4279.62,256
2013-04-20,Italia,3590.02,214
2013-04-21,España,3047.59,378
2013-04-21,Inglaterra,4867.0,269
2013-04-21,Francia,4222.41,453
2013-04-21,España,1166.56,77
2013-04-21,Francia,242.29,20
2013-04-21,Italia,3608.86,262
2013-04-21,España,515.32,22
2013-04-21,Francia,1121.78,59
2013-04-21,Francia,1618.66,106
2013-04-21,España,3647.58,212
2013-04-22,Italia,452.31,34
2013-04-22,Francia,277.65,29
2013-04-22,Francia,2773.26,119
2013-04-23,Italia,617.36,26
2013-04-23,Italia,3617.03,212
2013-04-23,Francia,2984.58,166
2013-04-23,Italia,1335.28,143
2013-04-23,Francia,2903.52,139
2013-04-23,Italia,4262.76,435
2013-04-23,Francia,1589.94,102
2013-04-23,Italia,1307.74,80
2013-04-23,Francia,3758.18,230
2013-04-24,Francia,366.61,25
2013-04-24,Italia,4506.76,204
2013-04-24,Inglaterra,2257.72,263
2013-04-24,Italia,4434.03,221
2013-04-24,Francia,989.39,46
2013-04-25,Francia,3162.12,160
2013-04-25,Italia,3006.22,148
2013-04-25,España,2829.62,166
2013-04-26,España,4878.0,465
2013-04-26,Italia,1432.25,139
2013-04-26,Italia,4858.26,492
2013-04-26,Francia,3793.64,291
2013-04-26,Francia,753.66,47
2013-04-26,España,998.97,48
2013-04-26,Francia,960.52,95
2013-04-26,Francia,3966.12,428
2013-04-27,Italia,1852.44,122
2013-04-27,Francia,2844.02,125
2013-04-27,Francia,2266.56,164
2013-04-28,Francia,271.04,32
2013-04-28,Italia,4701.5,278
2013-04-28,Italia,3494.76,270
2013-04-28,Inglaterra,240.29,11
2013-04-28,Italia,4703.46,245
2013-04-28,Francia,2233.64,238
2013-04-29,Francia,4767.01,192
2013-04-29,España,4516.8,234
2013-04-29,Francia,3507.83,316
2013-04-30,Francia,2082.81,202
2013-04-30,Italia,1588.23,188
2013-05-01,Inglaterra,4596.4,186
2013-05-01,Inglaterra,1780.38,123
2013-05-02,Inglaterra,1420.5,68
2013-05-02,Italia,2111.42,97
2013-05-02,España,4720.94,360
2013-05-02,Francia,4142.69,243
2013-05-02,España,2978.1,351
2013-05-02,Francia,727.86,31
2013-05-02,Inglaterra,3207.72,223
2013-05-03,Francia,470.66,35
2013-05-03,Francia,101.18,7
2013-05-03,Francia,4582.01,241
2013-05-03,España,1644.87,130
2013-05-04,Francia,1338.44,103
2013-05-04,Francia,3940.14,228
2013-05-04,España,3425.69,242
2013-05-04,Inglaterra,4457.59,538
2013-05-04,España,3844.68,164
2013-05-05,Francia,2289.49,92
2013-05-05,Francia,2755.97,191
2013-05-05,Francia,140.69,7
2013-05-05,España,1368.55,139
2013-05-05,Italia,1084.77,66
2013-05-05,Francia,886.73,54
2013-05-06,España,1879.63,209
2013-05-06,Italia,2347.96,224
2013-05-06,Francia,2988.58,173
2013-05-06,España,4110.86,182
2013-05-06,Francia,4670.14,239
2013-05-07,Italia,2418.75,157
2013-05-07,Inglaterra,2796.45,166
2013-05-07,Francia,1121.08,46
2013-05-08,España,3807.11,161
2013-05-08,España,3672.27,337
2013-05-08,Francia,377.41,24
2013-05-08,Italia,3427.73,141
2013-05-08,Inglaterra,2310.27,240
2013-05-09,Francia,2984.35,191
2013-05-09,Inglaterra,2510.51,130
2013-05-09,Francia,1177.63,55
2013-05-09,Francia,561.69,26
2013-05-09,Francia,1302.02,61
2013-05-09,Inglaterra,1359.23,81
2013-05-09,España,4123.51,319
2013-05-10,Francia,4859.87,235
2013-05-10,España,4539.16,419
2013-05-10,Francia,1417.63,153
2013-05-10,España,421.58,19
2013-05-10,Inglaterra,4565.22,306
2013-05-10,España,2415.06,169
2013-05-11,Francia,4633.8,262
2013-05-11,Italia,2554.75,233
2013-05-11,Francia,4932.95,321
2013-05-11,Francia,2765.08,124
2013-05-11,España,2348.69,108
2013-05-12,Francia,2404.22,176
2013-05-12,Inglaterra,3835.36,274
2013-05-12,Francia,1461.82,60
2013-05-12,Italia,447.93,23
2013-05-13,Francia,454.51,22
2013-05-13,Italia,4693.88,295
2013-05-13,España,2692.61,274
2013-05-14,Italia,355.06,25
2013-05-14,España,4454.81,205
2013-05-14,Italia,2945.04,187
2013-05-14,España,4520.88,294
2013-05-14,España,836.69,74
2013-05-14,España,1159.54,53
2013-05-15,Francia,3302.45,229
2013-05-15,España,2667.47,113
2013-05-15,Inglaterra,4309.03,365
2013-05-16,España,2215.41,103
2013-05-16,Inglaterra,1598.43,178
2013-05-17,Francia,298.45,29
2013-05-17,Francia,2845.32,123
2013-05-17,Francia,4835.41,275
2013-05-17,Francia,2393.61,117
2013-05-17,Francia,1997.93,182
2013-05-17,España,3812.52,158
2013-05-17,España,4336.92,176
2013-05-17,Francia,3194.22,201
2013-05-17,Francia,3308.67,145
2013-05-18,Francia,1848.3,216
2013-05-18,España,4743.25,378
2013-05-18,Italia,887.51,76
2013-05-18,Inglaterra,591.8,41
2013-05-18,Francia,1319.6,102
2013-05-19,Italia,3941.19,179
2013-05-19,Francia,3470.09,205
2013-05-19,Italia,2731.89,218
2013-05-19,Inglaterra,2991.57,355
2013-05-19,Francia,3624.06,298
2013-05-19,España,3896.66,222
2013-05-20,Francia,2303.48,143
2013-05-20,Italia,3893.88,448
2013-05-20,Francia,514.88,22
2013-05-20,Italia,3104.05,143
2013-05-20,España,144.13,13
2013-05-21,Francia,1921.83,134
2013-05-21,Francia,4226.83,234
2013-05-21,Italia,325.06,34
2013-05-21,Francia,3166.65,173
2013-05-21,Italia,153.72,13
2013-05-21,Italia,4574.9,197
2013-05-21,Francia,1056.81,46
2013-05-22,Inglaterra,4899.31,262
2013-05-22,Francia,154.04,18
2013-05-22,Italia,3983.26,197
2013-05-23,Francia,2857.01,168
2013-05-23,España,2874.31,233
2013-05-23,Italia,4740.73,262
2013-05-23,Italia,2324.27,96
2013-05-23,Inglaterra,719.49,88
2013-05-23,España,188.97,12
2013-05-23,España,1969.71,121
2013-05-24,Francia,1983.6,246
2013-05-24,Francia,2043.04,101
2013-05-24,Francia,700.34,33
2013-05-24,Francia,632.18,27
2013-05-24,Inglaterra,1883.01,76
2013-05-24,Francia,3428.65,343
2013-05-25,España,3101.2,237
2013-05-25,Italia,2188.78,116
2013-05-25,Italia,2334.14,118
2013-05-26,España,2503.25,126
2013-05-26,Italia,583.42,26
2013-05-26,Inglaterra,2053.34,89
2013-05-26,Francia,550.29,34
2013-05-26,Francia,4669.01,191
2013-05-27,Francia,799.65,86
2013-05-27,Francia,2852.0,250
2013-05-27,Inglaterra,669.29,39
2013-05-27,Francia,1107.58,53
2013-05-27,Italia,2706.36,163
2013-05-28,Inglaterra,4760.34,201
2013-05-28,Italia,176.67,10
2013-05-28,España,2132.67,114
2013-05-28,España,807.93,61
2013-05-28,Francia,3159.24,207
2013-05-28,Francia,3429.03,329
2013-05-29,Italia,593.4,24
2013-05-29,Francia,3579.71,201
2013-05-29,España,1574.69,67
2013-05-29,España,4707.55,553
2013-05-29,Francia,622.43,60
2013-05-29,España,4775.35,371
2013-05-29,Francia,4595.39,205
2013-05-30,España,4617.04,211
2013-05-30,España,3134.82,176
2013-05-31,Francia,115.3,9
2013-05-31,España,3344.71,186
2013-05-31,Francia,1084.17,52
2013-05-31,Francia,780.0,37
2013-06-01,España,821.64,46
2013-06-01,España,544.24,41
2013-06-01,España,4003.25,253
2013-06-01,Francia,2610.9,148
2013-06-02,Italia,2631.6,118
2013-06-02,España,2031.44,104
2013-06-02,Italia,3367.84,184
2013-06-02,Francia,1192.76,72
2013-06-03,Francia,1034.97,58
2013-06-03,Francia,2392.41,98
2013-06-03,Francia,1410.81,93
2013-06-03,España,1922.77,122
2013-06-03,Francia,235.39,29
2013-06-03,España,4196.15,195
2013-06-03,Francia,949.53,89
2013-06-03,Inglaterra,3305.42,159
2013-06-03,España,4201.34,309
2013-06-04,Inglaterra,4880.16,480
2013-06-04,Inglaterra,1375.04,70
2013-06-04,España,2113.13,257
2013-06-04,Francia,4005.24,451
2013-06-05,Francia,1150.85,95
2013-06-05,Francia,2875.31,269
2013-06-05,Italia,4389.11,366
2013-06-05,Francia,1716.1,180
2013-06-05,Francia,3450.28,317
2013-06-05,España,3889.19,252
2013-06-06,España,2598.46,120
2013-06-06,España,3593.84,191
2013-06-06,España,3717.14,163
2013-06-06,España,1837.38,113
2013-06-07,Italia,710.61,35
2013-06-08,Francia,3801.92,209
2013-06-08,Inglaterra,2238.12,196
2013-06-08,España,3381.64,303
2013-06-08,España,138.44,6
2013-06-08,Italia,4887.16,313
2013-06-09,Inglaterra,4931.21,532
2013-06-09,Inglaterra,414.26,25
2013-06-09,Inglaterra,4377.45,308
2013-06-09,Francia,3620.8,198
2013-06-09,España,763.36,44
2013-06-09,Francia,4984.0,204
2013-06-10,Inglaterra,4912.0,262
2013-06-10,España,2753.03,188
2013-06-10,Francia,2509.77,173
2013-06-10,España,995.2,47
2013-06-10,Inglaterra,4132.84,215
2013-06-11,Francia,2432.04,111
2013-06-11,Francia,4618.44,402
2013-06-11,España,1318.67,72
2013-06-11,Inglaterra,3163.54,144
2013-06-11,Francia,3834.93,322
2013-06-11,Italia,4875.59,266
2013-06-11,España,1136.45,57
2013-06-11,Inglaterra,1426.54,71
2013-06-12,Francia,451.38,24
2013-06-12,Francia,460.73,28
2013-06-12,Francia,2040.11,83
2013-06-12,Francia,3405.9,186
2013-06-13,Francia,241.13,20
2013-06-13,Italia,285.14,30
2013-06-13,Italia,4567.6,364
2013-06-13,Italia,1674.71,151
2013-06-13,España,4540.65,242
2013-06-14,España,2186.76,192
2013-06-14,Inglaterra,458.56,32
2013-06-14,Francia,2431.39,143
2013-06-14,Inglaterra,3664.25,198
2013-06-14,Francia,4640.13,192
2013-06-14,Italia,1479.61,78
2013-06-15,Italia,4991.17,206
2013-06-15,España,4483.87,269
2013-06-15,Francia,4002.09,234
2013-06-15,Inglaterra,4148.72,284
2013-06-15,España,2489.23,134
2013-06-15,España,3134.12,131
2013-06-15,Inglaterra,2651.05,127
2013-06-16,Italia,1737.81,73
2013-06-16,España,3941.9,230
2013-06-16,Inglaterra,537.11,27
2013-06-17,España,334.54,35
2013-06-18,España,1740.8,91
2013-06-19,Francia,4941.53,230
2013-06-19,Inglaterra,3521.34,171
2013-06-19,Francia,199.37,9
2013-06-19,Italia,3971.36,184
2013-06-19,España,1675.17,149
2013-06-19,España,4771.13,237
2013-06-20,España,583.89,30
2013-06-20,España,4544.88,205
2013-06-20,España,3229.63,151
2013-06-20,Inglaterra,2822.04,114
2013-06-20,Francia,2479.48,307
2013-06-20,Francia,3889.62,279
2013-06-20,Francia,1296.27,54
2013-06-20,Italia,3646.6,177
2013-06-21,Francia,1527.24,147
2013-06-21,Francia,4001.87,208
2013-06-21,Francia,1170.35,90
2013-06-21,España,1278.51,55
2013-06-22,Inglaterra,1810.08,154
2013-06-22,Francia,1445.4,175
2013-06-22,Italia,547.1,37
2013-06-22,Italia,222.52,13
2013-06-22,Inglaterra,4437.62,406
2013-06-22,Francia,2384.33,160
2013-06-22,España,342.29,17
2013-06-23,España,603.88,65
